Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 1.4s

step 00000 (0.0%) | loss: 9.011234 | lrm: 1.00 | dt: 1362ms | tok/sec: 24,053 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.027998 | lrm: 1.00 | dt: 1279ms | tok/sec: 25,612 | epoch: 1 | remaining: 299s    
step 00002 (0.4%) | loss: 8.704624 | lrm: 1.00 | dt: 1278ms | tok/sec: 25,639 | epoch: 1 | remaining: 297s    
step 00003 (0.9%) | loss: 8.438644 | lrm: 1.00 | dt: 1291ms | tok/sec: 25,381 | epoch: 1 | remaining: 296s    
step 00004 (1.3%) | loss: 8.255799 | lrm: 1.00 | dt: 1274ms | tok/sec: 25,727 | epoch: 1 | remaining: 295s    
step 00005 (1.7%) | loss: 8.116823 | lrm: 1.00 | dt: 1274ms | tok/sec: 25,725 | epoch: 1 | remaining: 294s    
step 00006 (2.1%) | loss: 8.029021 | lrm: 1.00 | dt: 1278ms | tok/sec: 25,647 | epoch: 1 | remaining: 292s    
step 00007 (2.6%) | loss: 7.976818 | lrm: 1.00 | dt: 1274ms | tok/sec: 25,711 | epoch: 1 | remaining: 291s    
step 00008 (3.0%) | loss: 7.911114 | lrm: 1.00 | dt: 1283ms | tok/sec: 25,549 | epoch: 1 | remaining: 290s    
step 00009 (3.4%) | loss: 7.859778 | lrm: 1.00 | dt: 1273ms | tok/sec: 25,742 | epoch: 1 | remaining: 288s    
step 00010 (3.8%) | loss: 7.813474 | lrm: 1.00 | dt: 1276ms | tok/sec: 25,688 | epoch: 1 | remaining: 287s    
step 00011 (4.3%) | loss: 7.773681 | lrm: 1.00 | dt: 1281ms | tok/sec: 25,570 | epoch: 1 | remaining: 286s    
step 00012 (4.7%) | loss: 7.735007 | lrm: 1.00 | dt: 1271ms | tok/sec: 25,771 | epoch: 1 | remaining: 285s    
step 00013 (5.1%) | loss: 7.699073 | lrm: 1.00 | dt: 1280ms | tok/sec: 25,597 | epoch: 1 | remaining: 283s    
step 00014 (5.5%) | loss: 7.661926 | lrm: 1.00 | dt: 1275ms | tok/sec: 25,692 | epoch: 1 | remaining: 282s    
step 00015 (6.0%) | loss: 7.629495 | lrm: 1.00 | dt: 1272ms | tok/sec: 25,753 | epoch: 1 | remaining: 281s    
step 00016 (6.4%) | loss: 7.593069 | lrm: 1.00 | dt: 1294ms | tok/sec: 25,322 | epoch: 1 | remaining: 280s    
step 00017 (6.8%) | loss: 7.564517 | lrm: 1.00 | dt: 1277ms | tok/sec: 25,658 | epoch: 1 | remaining: 278s    
step 00018 (7.2%) | loss: 7.533978 | lrm: 1.00 | dt: 1282ms | tok/sec: 25,554 | epoch: 1 | remaining: 277s    
step 00019 (7.7%) | loss: 7.500986 | lrm: 1.00 | dt: 1276ms | tok/sec: 25,681 | epoch: 1 | remaining: 276s    
step 00020 (8.1%) | loss: 7.483657 | lrm: 1.00 | dt: 1275ms | tok/sec: 25,704 | epoch: 1 | remaining: 274s    
step 00021 (8.5%) | loss: 7.452018 | lrm: 1.00 | dt: 1292ms | tok/sec: 25,358 | epoch: 1 | remaining: 273s    
step 00022 (9.0%) | loss: 7.433958 | lrm: 1.00 | dt: 1277ms | tok/sec: 25,650 | epoch: 1 | remaining: 272s    
step 00023 (9.4%) | loss: 7.408283 | lrm: 1.00 | dt: 1286ms | tok/sec: 25,487 | epoch: 1 | remaining: 271s    
step 00024 (9.8%) | loss: 7.385804 | lrm: 1.00 | dt: 1278ms | tok/sec: 25,645 | epoch: 1 | remaining: 269s    
step 00025 (10.2%) | loss: 7.366662 | lrm: 1.00 | dt: 1279ms | tok/sec: 25,620 | epoch: 1 | remaining: 268s    
step 00026 (10.7%) | loss: 7.340113 | lrm: 1.00 | dt: 1285ms | tok/sec: 25,496 | epoch: 1 | remaining: 267s    
step 00027 (11.1%) | loss: 7.326971 | lrm: 1.00 | dt: 1275ms | tok/sec: 25,698 | epoch: 1 | remaining: 265s    
step 00028 (11.5%) | loss: 7.305765 | lrm: 1.00 | dt: 1284ms | tok/sec: 25,520 | epoch: 1 | remaining: 264s    
step 00029 (11.9%) | loss: 7.285981 | lrm: 1.00 | dt: 1273ms | tok/sec: 25,734 | epoch: 1 | remaining: 263s    
