Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.8s

step 00000 (0.0%) | loss: 9.011292 | lrm: 1.00 | dt: 826ms | tok/sec: 19,827 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.047479 | lrm: 1.00 | dt: 642ms | tok/sec: 25,505 | epoch: 1 | remaining: 299s    
step 00002 (0.2%) | loss: 8.737623 | lrm: 1.00 | dt: 639ms | tok/sec: 25,631 | epoch: 1 | remaining: 299s    
step 00003 (0.4%) | loss: 8.481366 | lrm: 1.00 | dt: 645ms | tok/sec: 25,418 | epoch: 1 | remaining: 298s    
step 00004 (0.6%) | loss: 8.280308 | lrm: 1.00 | dt: 640ms | tok/sec: 25,604 | epoch: 1 | remaining: 297s    
step 00005 (0.9%) | loss: 8.147165 | lrm: 1.00 | dt: 643ms | tok/sec: 25,482 | epoch: 1 | remaining: 297s    
step 00006 (1.1%) | loss: 8.062878 | lrm: 1.00 | dt: 642ms | tok/sec: 25,534 | epoch: 1 | remaining: 296s    
step 00007 (1.3%) | loss: 7.993640 | lrm: 1.00 | dt: 655ms | tok/sec: 25,019 | epoch: 1 | remaining: 295s    
step 00008 (1.5%) | loss: 7.932370 | lrm: 1.00 | dt: 641ms | tok/sec: 25,546 | epoch: 1 | remaining: 295s    
step 00009 (1.7%) | loss: 7.871527 | lrm: 1.00 | dt: 643ms | tok/sec: 25,468 | epoch: 1 | remaining: 294s    
step 00010 (1.9%) | loss: 7.834940 | lrm: 1.00 | dt: 642ms | tok/sec: 25,517 | epoch: 1 | remaining: 294s    
step 00011 (2.1%) | loss: 7.801379 | lrm: 1.00 | dt: 646ms | tok/sec: 25,352 | epoch: 1 | remaining: 293s    
step 00012 (2.4%) | loss: 7.772230 | lrm: 1.00 | dt: 645ms | tok/sec: 25,421 | epoch: 1 | remaining: 292s    
step 00013 (2.6%) | loss: 7.741714 | lrm: 1.00 | dt: 645ms | tok/sec: 25,386 | epoch: 1 | remaining: 292s    
step 00014 (2.8%) | loss: 7.711807 | lrm: 1.00 | dt: 642ms | tok/sec: 25,526 | epoch: 1 | remaining: 291s    
step 00015 (3.0%) | loss: 7.694056 | lrm: 1.00 | dt: 639ms | tok/sec: 25,646 | epoch: 1 | remaining: 290s    
step 00016 (3.2%) | loss: 7.673854 | lrm: 1.00 | dt: 642ms | tok/sec: 25,509 | epoch: 1 | remaining: 290s    
step 00017 (3.4%) | loss: 7.650661 | lrm: 1.00 | dt: 640ms | tok/sec: 25,582 | epoch: 1 | remaining: 289s    
step 00018 (3.6%) | loss: 7.624972 | lrm: 1.00 | dt: 646ms | tok/sec: 25,349 | epoch: 1 | remaining: 288s    
step 00019 (3.9%) | loss: 7.609226 | lrm: 1.00 | dt: 643ms | tok/sec: 25,467 | epoch: 1 | remaining: 288s    
step 00020 (4.1%) | loss: 7.596336 | lrm: 1.00 | dt: 641ms | tok/sec: 25,570 | epoch: 1 | remaining: 287s    
step 00021 (4.3%) | loss: 7.577018 | lrm: 1.00 | dt: 641ms | tok/sec: 25,558 | epoch: 1 | remaining: 286s    
step 00022 (4.5%) | loss: 7.561080 | lrm: 1.00 | dt: 643ms | tok/sec: 25,498 | epoch: 1 | remaining: 286s    
step 00023 (4.7%) | loss: 7.547103 | lrm: 1.00 | dt: 650ms | tok/sec: 25,214 | epoch: 1 | remaining: 285s    
step 00024 (4.9%) | loss: 7.526401 | lrm: 1.00 | dt: 641ms | tok/sec: 25,577 | epoch: 1 | remaining: 285s    
step 00025 (5.1%) | loss: 7.518017 | lrm: 1.00 | dt: 643ms | tok/sec: 25,463 | epoch: 1 | remaining: 284s    
step 00026 (5.4%) | loss: 7.508321 | lrm: 1.00 | dt: 641ms | tok/sec: 25,561 | epoch: 1 | remaining: 283s    
step 00027 (5.6%) | loss: 7.485382 | lrm: 1.00 | dt: 644ms | tok/sec: 25,426 | epoch: 1 | remaining: 283s    
step 00028 (5.8%) | loss: 7.462460 | lrm: 1.00 | dt: 646ms | tok/sec: 25,374 | epoch: 1 | remaining: 282s    
step 00029 (6.0%) | loss: 7.444927 | lrm: 1.00 | dt: 643ms | tok/sec: 25,481 | epoch: 1 | remaining: 281s    
step 00030 (6.2%) | loss: 7.434598 | lrm: 1.00 | dt: 641ms | tok/sec: 25,560 | epoch: 1 | remaining: 281s    
step 00031 (6.4%) | loss: 7.415055 | lrm: 1.00 | dt: 640ms | tok/sec: 25,608 | epoch: 1 | remaining: 280s    
step 00032 (6.6%) | loss: 7.394127 | lrm: 1.00 | dt: 659ms | tok/sec: 24,848 | epoch: 1 | remaining: 279s    
step 00033 (6.9%) | loss: 7.380949 | lrm: 1.00 | dt: 647ms | tok/sec: 25,316 | epoch: 1 | remaining: 279s    
step 00034 (7.1%) | loss: 7.372333 | lrm: 1.00 | dt: 641ms | tok/sec: 25,559 | epoch: 1 | remaining: 278s    
step 00035 (7.3%) | loss: 7.356454 | lrm: 1.00 | dt: 644ms | tok/sec: 25,445 | epoch: 1 | remaining: 277s    
