Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.4s

step 00000 (0.0%) | loss: 9.011353 | lrm: 1.00 | dt: 366ms | tok/sec: 22,397 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.060349 | lrm: 1.00 | dt: 347ms | tok/sec: 23,641 | epoch: 1 | remaining: 300s    
step 00002 (0.1%) | loss: 8.733823 | lrm: 1.00 | dt: 334ms | tok/sec: 24,521 | epoch: 1 | remaining: 299s    
step 00003 (0.2%) | loss: 8.502827 | lrm: 1.00 | dt: 333ms | tok/sec: 24,586 | epoch: 1 | remaining: 299s    
step 00004 (0.3%) | loss: 8.342732 | lrm: 1.00 | dt: 332ms | tok/sec: 24,644 | epoch: 1 | remaining: 299s    
step 00005 (0.4%) | loss: 8.197034 | lrm: 1.00 | dt: 332ms | tok/sec: 24,692 | epoch: 1 | remaining: 298s    
step 00006 (0.6%) | loss: 8.104320 | lrm: 1.00 | dt: 332ms | tok/sec: 24,654 | epoch: 1 | remaining: 298s    
step 00007 (0.7%) | loss: 8.013725 | lrm: 1.00 | dt: 335ms | tok/sec: 24,442 | epoch: 1 | remaining: 298s    
step 00008 (0.8%) | loss: 7.956797 | lrm: 1.00 | dt: 335ms | tok/sec: 24,427 | epoch: 1 | remaining: 297s    
step 00009 (0.9%) | loss: 7.914501 | lrm: 1.00 | dt: 332ms | tok/sec: 24,644 | epoch: 1 | remaining: 297s    
step 00010 (1.0%) | loss: 7.889266 | lrm: 1.00 | dt: 333ms | tok/sec: 24,632 | epoch: 1 | remaining: 297s    
step 00011 (1.1%) | loss: 7.841981 | lrm: 1.00 | dt: 335ms | tok/sec: 24,479 | epoch: 1 | remaining: 296s    
step 00012 (1.2%) | loss: 7.812089 | lrm: 1.00 | dt: 333ms | tok/sec: 24,610 | epoch: 1 | remaining: 296s    
step 00013 (1.3%) | loss: 7.786044 | lrm: 1.00 | dt: 331ms | tok/sec: 24,728 | epoch: 1 | remaining: 296s    
step 00014 (1.4%) | loss: 7.772946 | lrm: 1.00 | dt: 332ms | tok/sec: 24,702 | epoch: 1 | remaining: 295s    
step 00015 (1.6%) | loss: 7.736460 | lrm: 1.00 | dt: 342ms | tok/sec: 23,921 | epoch: 1 | remaining: 295s    
step 00016 (1.7%) | loss: 7.715305 | lrm: 1.00 | dt: 334ms | tok/sec: 24,557 | epoch: 1 | remaining: 295s    
step 00017 (1.8%) | loss: 7.704705 | lrm: 1.00 | dt: 332ms | tok/sec: 24,653 | epoch: 1 | remaining: 294s    
step 00018 (1.9%) | loss: 7.674291 | lrm: 1.00 | dt: 331ms | tok/sec: 24,721 | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 7.658658 | lrm: 1.00 | dt: 332ms | tok/sec: 24,702 | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 7.645845 | lrm: 1.00 | dt: 333ms | tok/sec: 24,599 | epoch: 1 | remaining: 293s    
step 00021 (2.2%) | loss: 7.630147 | lrm: 1.00 | dt: 332ms | tok/sec: 24,689 | epoch: 1 | remaining: 293s    
step 00022 (2.3%) | loss: 7.611031 | lrm: 1.00 | dt: 331ms | tok/sec: 24,716 | epoch: 1 | remaining: 293s    
step 00023 (2.4%) | loss: 7.609395 | lrm: 1.00 | dt: 333ms | tok/sec: 24,635 | epoch: 1 | remaining: 292s    
step 00024 (2.6%) | loss: 7.602960 | lrm: 1.00 | dt: 332ms | tok/sec: 24,709 | epoch: 1 | remaining: 292s    
