Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.4s

step 00000 (0.0%) | loss: 9.011353 | lrm: 1.00 | dt: 363ms | tok/sec: 22,566 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.060015 | lrm: 1.00 | dt: 347ms | tok/sec: 23,619 | epoch: 1 | remaining: 300s    
step 00002 (0.1%) | loss: 8.735455 | lrm: 1.00 | dt: 332ms | tok/sec: 24,646 | epoch: 1 | remaining: 299s    
step 00003 (0.2%) | loss: 8.511609 | lrm: 1.00 | dt: 335ms | tok/sec: 24,483 | epoch: 1 | remaining: 299s    
step 00004 (0.3%) | loss: 8.348976 | lrm: 1.00 | dt: 333ms | tok/sec: 24,600 | epoch: 1 | remaining: 299s    
step 00005 (0.4%) | loss: 8.205640 | lrm: 1.00 | dt: 333ms | tok/sec: 24,583 | epoch: 1 | remaining: 298s    
step 00006 (0.6%) | loss: 8.120850 | lrm: 1.00 | dt: 333ms | tok/sec: 24,575 | epoch: 1 | remaining: 298s    
step 00007 (0.7%) | loss: 8.035295 | lrm: 1.00 | dt: 331ms | tok/sec: 24,724 | epoch: 1 | remaining: 298s    
step 00008 (0.8%) | loss: 7.965419 | lrm: 1.00 | dt: 332ms | tok/sec: 24,688 | epoch: 1 | remaining: 297s    
step 00009 (0.9%) | loss: 7.912142 | lrm: 1.00 | dt: 334ms | tok/sec: 24,494 | epoch: 1 | remaining: 297s    
step 00010 (1.0%) | loss: 7.890225 | lrm: 1.00 | dt: 334ms | tok/sec: 24,562 | epoch: 1 | remaining: 297s    
step 00011 (1.1%) | loss: 7.847318 | lrm: 1.00 | dt: 332ms | tok/sec: 24,645 | epoch: 1 | remaining: 296s    
step 00012 (1.2%) | loss: 7.818704 | lrm: 1.00 | dt: 331ms | tok/sec: 24,713 | epoch: 1 | remaining: 296s    
step 00013 (1.3%) | loss: 7.793198 | lrm: 1.00 | dt: 331ms | tok/sec: 24,758 | epoch: 1 | remaining: 296s    
step 00014 (1.4%) | loss: 7.782050 | lrm: 1.00 | dt: 332ms | tok/sec: 24,645 | epoch: 1 | remaining: 295s    
step 00015 (1.6%) | loss: 7.749604 | lrm: 1.00 | dt: 343ms | tok/sec: 23,913 | epoch: 1 | remaining: 295s    
step 00016 (1.7%) | loss: 7.728357 | lrm: 1.00 | dt: 335ms | tok/sec: 24,420 | epoch: 1 | remaining: 295s    
step 00017 (1.8%) | loss: 7.716377 | lrm: 1.00 | dt: 333ms | tok/sec: 24,605 | epoch: 1 | remaining: 294s    
step 00018 (1.9%) | loss: 7.686874 | lrm: 1.00 | dt: 332ms | tok/sec: 24,657 | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 7.671333 | lrm: 1.00 | dt: 332ms | tok/sec: 24,673 | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 7.657025 | lrm: 1.00 | dt: 333ms | tok/sec: 24,589 | epoch: 1 | remaining: 293s    
step 00021 (2.2%) | loss: 7.642335 | lrm: 1.00 | dt: 332ms | tok/sec: 24,705 | epoch: 1 | remaining: 293s    
step 00022 (2.3%) | loss: 7.623991 | lrm: 1.00 | dt: 332ms | tok/sec: 24,711 | epoch: 1 | remaining: 293s    
step 00023 (2.4%) | loss: 7.623303 | lrm: 1.00 | dt: 331ms | tok/sec: 24,724 | epoch: 1 | remaining: 292s    
step 00024 (2.6%) | loss: 7.616956 | lrm: 1.00 | dt: 332ms | tok/sec: 24,697 | epoch: 1 | remaining: 292s    
step 00025 (2.7%) | loss: 7.602410 | lrm: 1.00 | dt: 332ms | tok/sec: 24,664 | epoch: 1 | remaining: 292s    
step 00026 (2.8%) | loss: 7.585943 | lrm: 1.00 | dt: 332ms | tok/sec: 24,671 | epoch: 1 | remaining: 291s    
step 00027 (2.9%) | loss: 7.571243 | lrm: 1.00 | dt: 338ms | tok/sec: 24,203 | epoch: 1 | remaining: 291s    
step 00028 (3.0%) | loss: 7.551862 | lrm: 1.00 | dt: 333ms | tok/sec: 24,622 | epoch: 1 | remaining: 291s    
step 00029 (3.1%) | loss: 7.542348 | lrm: 1.00 | dt: 332ms | tok/sec: 24,701 | epoch: 1 | remaining: 290s    
step 00030 (3.2%) | loss: 7.536020 | lrm: 1.00 | dt: 332ms | tok/sec: 24,661 | epoch: 1 | remaining: 290s    
step 00031 (3.3%) | loss: 7.526554 | lrm: 1.00 | dt: 332ms | tok/sec: 24,656 | epoch: 1 | remaining: 290s    
step 00032 (3.4%) | loss: 7.523164 | lrm: 1.00 | dt: 332ms | tok/sec: 24,663 | epoch: 1 | remaining: 289s    
step 00033 (3.6%) | loss: 7.504663 | lrm: 1.00 | dt: 333ms | tok/sec: 24,620 | epoch: 1 | remaining: 289s    
step 00034 (3.7%) | loss: 7.487813 | lrm: 1.00 | dt: 332ms | tok/sec: 24,678 | epoch: 1 | remaining: 289s    
step 00035 (3.8%) | loss: 7.467071 | lrm: 1.00 | dt: 333ms | tok/sec: 24,586 | epoch: 1 | remaining: 288s    
step 00036 (3.9%) | loss: 7.451676 | lrm: 1.00 | dt: 336ms | tok/sec: 24,397 | epoch: 1 | remaining: 288s    
step 00037 (4.0%) | loss: 7.442599 | lrm: 1.00 | dt: 339ms | tok/sec: 24,134 | epoch: 1 | remaining: 288s    
step 00038 (4.1%) | loss: 7.434988 | lrm: 1.00 | dt: 334ms | tok/sec: 24,561 | epoch: 1 | remaining: 287s    
step 00039 (4.2%) | loss: 7.432752 | lrm: 1.00 | dt: 337ms | tok/sec: 24,330 | epoch: 1 | remaining: 287s    
step 00040 (4.3%) | loss: 7.424125 | lrm: 1.00 | dt: 335ms | tok/sec: 24,453 | epoch: 1 | remaining: 287s    
step 00041 (4.4%) | loss: 7.416076 | lrm: 1.00 | dt: 334ms | tok/sec: 24,512 | epoch: 1 | remaining: 286s    
step 00042 (4.6%) | loss: 7.402911 | lrm: 1.00 | dt: 332ms | tok/sec: 24,677 | epoch: 1 | remaining: 286s    
step 00043 (4.7%) | loss: 7.390679 | lrm: 1.00 | dt: 331ms | tok/sec: 24,728 | epoch: 1 | remaining: 286s    
step 00044 (4.8%) | loss: 7.395988 | lrm: 1.00 | dt: 333ms | tok/sec: 24,613 | epoch: 1 | remaining: 285s    
step 00045 (4.9%) | loss: 7.370979 | lrm: 1.00 | dt: 334ms | tok/sec: 24,543 | epoch: 1 | remaining: 285s    
step 00046 (5.0%) | loss: 7.364995 | lrm: 1.00 | dt: 336ms | tok/sec: 24,361 | epoch: 1 | remaining: 285s    
step 00047 (5.1%) | loss: 7.345360 | lrm: 1.00 | dt: 334ms | tok/sec: 24,534 | epoch: 1 | remaining: 284s    
step 00048 (5.2%) | loss: 7.326237 | lrm: 1.00 | dt: 342ms | tok/sec: 23,951 | epoch: 1 | remaining: 284s    
step 00049 (5.3%) | loss: 7.314854 | lrm: 1.00 | dt: 333ms | tok/sec: 24,606 | epoch: 1 | remaining: 284s    
step 00050 (5.5%) | loss: 7.304648 | lrm: 1.00 | dt: 333ms | tok/sec: 24,626 | epoch: 1 | remaining: 283s    
step 00051 (5.6%) | loss: 7.297932 | lrm: 1.00 | dt: 332ms | tok/sec: 24,655 | epoch: 1 | remaining: 283s    
step 00052 (5.7%) | loss: 7.293629 | lrm: 1.00 | dt: 332ms | tok/sec: 24,655 | epoch: 1 | remaining: 283s    
step 00053 (5.8%) | loss: 7.284795 | lrm: 1.00 | dt: 332ms | tok/sec: 24,675 | epoch: 1 | remaining: 282s    
step 00054 (5.9%) | loss: 7.266904 | lrm: 1.00 | dt: 332ms | tok/sec: 24,642 | epoch: 1 | remaining: 282s    
step 00055 (6.0%) | loss: 7.244419 | lrm: 1.00 | dt: 334ms | tok/sec: 24,545 | epoch: 1 | remaining: 282s    
step 00056 (6.1%) | loss: 7.223459 | lrm: 1.00 | dt: 333ms | tok/sec: 24,625 | epoch: 1 | remaining: 281s    
step 00057 (6.2%) | loss: 7.202609 | lrm: 1.00 | dt: 332ms | tok/sec: 24,647 | epoch: 1 | remaining: 281s    
step 00058 (6.3%) | loss: 7.192765 | lrm: 1.00 | dt: 339ms | tok/sec: 24,158 | epoch: 1 | remaining: 281s    
step 00059 (6.5%) | loss: 7.175405 | lrm: 1.00 | dt: 333ms | tok/sec: 24,589 | epoch: 1 | remaining: 280s    
step 00060 (6.6%) | loss: 7.159452 | lrm: 1.00 | dt: 332ms | tok/sec: 24,642 | epoch: 1 | remaining: 280s    
step 00061 (6.7%) | loss: 7.158697 | lrm: 1.00 | dt: 332ms | tok/sec: 24,693 | epoch: 1 | remaining: 280s    
step 00062 (6.8%) | loss: 7.141814 | lrm: 1.00 | dt: 333ms | tok/sec: 24,594 | epoch: 1 | remaining: 279s    
step 00063 (6.9%) | loss: 7.123022 | lrm: 1.00 | dt: 332ms | tok/sec: 24,655 | epoch: 1 | remaining: 279s    
step 00064 (7.0%) | loss: 7.103519 | lrm: 1.00 | dt: 333ms | tok/sec: 24,603 | epoch: 1 | remaining: 279s    
step 00065 (7.1%) | loss: 7.083344 | lrm: 1.00 | dt: 334ms | tok/sec: 24,560 | epoch: 1 | remaining: 278s    
step 00066 (7.2%) | loss: 7.068550 | lrm: 1.00 | dt: 335ms | tok/sec: 24,418 | epoch: 1 | remaining: 278s    
step 00067 (7.3%) | loss: 7.062536 | lrm: 1.00 | dt: 333ms | tok/sec: 24,631 | epoch: 1 | remaining: 278s    
step 00068 (7.5%) | loss: 7.051356 | lrm: 1.00 | dt: 338ms | tok/sec: 24,232 | epoch: 1 | remaining: 277s    
step 00069 (7.6%) | loss: 7.048079 | lrm: 1.00 | dt: 335ms | tok/sec: 24,425 | epoch: 1 | remaining: 277s    
