Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.4s

step 00000 (0.0%) | loss: 9.011353 | lrm: 1.00 | dt: 364ms | tok/sec: 22,496 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.060583 | lrm: 1.00 | dt: 346ms | tok/sec: 23,697 | epoch: 1 | remaining: 300s    
step 00002 (0.1%) | loss: 8.735502 | lrm: 1.00 | dt: 334ms | tok/sec: 24,562 | epoch: 1 | remaining: 299s    
step 00003 (0.2%) | loss: 8.511304 | lrm: 1.00 | dt: 331ms | tok/sec: 24,726 | epoch: 1 | remaining: 299s    
step 00004 (0.3%) | loss: 8.350006 | lrm: 1.00 | dt: 331ms | tok/sec: 24,713 | epoch: 1 | remaining: 299s    
step 00005 (0.4%) | loss: 8.208315 | lrm: 1.00 | dt: 332ms | tok/sec: 24,639 | epoch: 1 | remaining: 298s    
step 00006 (0.6%) | loss: 8.122216 | lrm: 1.00 | dt: 333ms | tok/sec: 24,609 | epoch: 1 | remaining: 298s    
step 00007 (0.7%) | loss: 8.030978 | lrm: 1.00 | dt: 332ms | tok/sec: 24,640 | epoch: 1 | remaining: 298s    
step 00008 (0.8%) | loss: 7.961831 | lrm: 1.00 | dt: 333ms | tok/sec: 24,612 | epoch: 1 | remaining: 297s    
step 00009 (0.9%) | loss: 7.914383 | lrm: 1.00 | dt: 331ms | tok/sec: 24,712 | epoch: 1 | remaining: 297s    
step 00010 (1.0%) | loss: 7.891126 | lrm: 1.00 | dt: 332ms | tok/sec: 24,651 | epoch: 1 | remaining: 297s    
step 00011 (1.1%) | loss: 7.850243 | lrm: 1.00 | dt: 332ms | tok/sec: 24,687 | epoch: 1 | remaining: 296s    
step 00012 (1.2%) | loss: 7.826395 | lrm: 1.00 | dt: 332ms | tok/sec: 24,691 | epoch: 1 | remaining: 296s    
step 00013 (1.3%) | loss: 7.801695 | lrm: 1.00 | dt: 332ms | tok/sec: 24,689 | epoch: 1 | remaining: 296s    
step 00014 (1.4%) | loss: 7.791045 | lrm: 1.00 | dt: 333ms | tok/sec: 24,631 | epoch: 1 | remaining: 295s    
step 00015 (1.6%) | loss: 7.756120 | lrm: 1.00 | dt: 342ms | tok/sec: 23,958 | epoch: 1 | remaining: 295s    
step 00016 (1.7%) | loss: 7.735332 | lrm: 1.00 | dt: 333ms | tok/sec: 24,627 | epoch: 1 | remaining: 295s    
step 00017 (1.8%) | loss: 7.724081 | lrm: 1.00 | dt: 332ms | tok/sec: 24,649 | epoch: 1 | remaining: 294s    
step 00018 (1.9%) | loss: 7.695143 | lrm: 1.00 | dt: 331ms | tok/sec: 24,722 | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 7.681856 | lrm: 1.00 | dt: 332ms | tok/sec: 24,662 | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 7.669558 | lrm: 1.00 | dt: 332ms | tok/sec: 24,659 | epoch: 1 | remaining: 293s    
step 00021 (2.2%) | loss: 7.656341 | lrm: 1.00 | dt: 332ms | tok/sec: 24,646 | epoch: 1 | remaining: 293s    
